
Train: 001
Destination:   D
Capacity (kg): 140000.0
Load (kg):     139999.310
Num of Parcels 40015
Parcels:
 D  3.125
 D  3.817
 D  3.79
 D  2.267
 D  2.443
 D  2.629
 D  4.709
 D  4.175
 D  2.906
 D  4.458
 D  3.471
 D  2.02
 D  3.182
 D  2.152
 D  4.557
 D  3.24
 D  2.384
 D  3.962
 D  4.36
 D  2.094
 D  2.156
 D  2.424
 D  3.231
 D  3.5
 D  3.16
 D  3.439
 D  3.363
 D  3.538
 D  3.538
 D  3.291
 D  3.017
 D  4.066
 D  2.159
 D  4.416
 D  3.32
 D  2.747
 D  3.395
 D  2.212
 D  3.253
 D  2.414
 D  3.305
 D  4.388
 D  4.399
 D  3.88
 D  3.939
 D  3.903
 D  2.997
 D  4.278
 D  2.923
 D  3.235
 D  2.213
 D  4.272
 D  4.479
 D  2.706
 D  2.687
 D  4.078
 D  3.829
 D  2.925
 D  4.874
 D  4.616
 D  2.212
 D  3.126
 D  2.693
 D  3.891
 D  4.158
 D  3.063
 D  3.998
 D  3.97
 D  3.716
 D  4.33
 D  3.505
 D  3.759
 D  2.864
 D  3.755
 D  4.304
 D  4.176
 D  4.137
 D  2.59
 D  3.374
 D  3.669
 D  4.138
 D  4.843
 D  4.027
 D  3.996
 D  2.698
 D  3.421
 D  3.934
 D  2.032
 D  3.305
 D  4.929
 D  4.278
 D  2.41
 D  2.643
 D  2.312
 D  2.793
 D  3.451
 D  3.57
 D  2.243
 D  2.195
 D  3.252
 D  4.276
 D  4.776
 D  3.069
 D  3.324
 D  4.546
 D  3.262
 D  4.072
 D  3.896
 D  2.671
 D  4.546
 D  3.205
 D  3.804
 D  3.483
 D  3.649
 D  4.022
 D  3.015
 D  3.363
 D  4.523
 D  3.897
 D  2.33
 D  4.879
 D  2.471
 D  2.533
 D  4.125
 D  2.145
 D  3.397
 D  4.432
 D  4.897
 D  4.281
 D  3.195
 D  3.764
 D  3.96
 D  3.149
 D  2.437
 D  3.538
 D  4.83
 D  4.328
 D  4.627
 D  3.34
 D  3.562
 D  2.015
 D  2.255
 D  3.369
 D  4.036
 D  2.25
 D  4.035
 D  2.193
 D  2.448
 D  3.924
 D  3.49
 D  4.969
 D  4.148
 D  4.188
 D  3.402
 D  3.42
 D  2.247
 D  2.348
 D  3.287
 D  4.815
 D  3.401
 D  2.74
 D  4.781
 D  2.857
 D  4.856
 D  4.95
 D  3.169
 D  3.168
 D  3.708
 D  3.437
 D  3.061
 D  3.167
 D  2.526
 D  4.322
 D  2.958
 D  3.23
 D  2.731
 D  4.586
 D  3.281
 D  3.596
 D  3.191
 D  3.328
 D  3.224
 D  4.565
 D  4.538
 D  2.249
 D  3.4
 D  2.076
 D  4.033
 D  4.696
 D  4.43
 D  2.013
 D  4.414
 D  2.579
 D  4.375
 D  2.697
 D  3.456
 D  4.599
 D  3.015
 D  4.997
 D  3.596
 D  2.456
 D  4.844
 D  2.495
 D  2.5
 D  2.269
 D  4.13
 D  3.941
 D  3.139
 D  3.098
 D  2.557
 D  2.473
 D  3.585
 D  3.47
 D  4.373
 D  3.395
 D  3.965
 D  2.751
 D  3.498
 D  2.031
 D  2.429
 D  3.065
 D  2.512
 D  3.788
 D  2.666
 D  3.555
 D  2.558
 D  3.023
 D  4.787
 D  2.055
 D  4.725
 D  2.041
 D  2.438
 D  3.917
 D  4.187
 D  3.055
 D  4.559
 D  2.709
 D  4.161
 D  2.678
 D  3.148
 D  4.6
 D  2.985
 D  2.504
 D  4.969
 D  2.16
 D  2.128
 D  3.491
 D  2.574
 D  4.74
 D  3.847
 D  4.683
 D  2.369
 D  2.995
 D  2.602
 D  2.804
 D  2.822
 D  4.804
 D  2.3
 D  3.327
 D  3.298
 D  4.632
 D  3.465
 D  3.699
 D  2.23
 D  2.491
 D  4.792
 D  2.064
 D  4.741
 D  2.067
 D  3.778
 D  2.665
 D  4.402
 D  3.049
 D  3.109
 D  4.037
 D  2.348
 D  3.452
 D  3.73
 D  2.435
 D  3.517
 D  2.15
 D  2.22
 D  2.978
 D  2.697
 D  4.758
 D  4.28
 D  3.234
 D  4.613
 D  4.921
 D  4.062
 D  2.956
 D  4.076
 D  3.281
 D  4.261
 D  3.466
 D  2.502
 D  2.997
 D  2.739
 D  2.972
 D  3.616
 D  2.583
 D  4.667
 D  4.136
 D  4.771
 D  3.351
 D  4.431
 D  4.281
 D  2.958
 D  3.438
 D  4.375
 D  4.923
 D  2.973
 D  4.912
 D  4.134
 D  3.603
 D  2.308
 D  3.683
 D  2.311
 D  3.38
 D  2.781
 D  2.211
 D  2.974
 D  3.805
 D  2.753
 D  4.073
 D  2.163
 D  4.622
 D  3.936
 D  3.533
 D  3.584
 D  2.548
 D  2.603
 D  2.679
 D  4.962
 D  4.291
 D  2.326
 D  3.8
 D  4.554
 D  4.495
 D  2.021
 D  2.842
 D  2.835
 D  2.207
 D  3.744
 D  3.702
 D  4.799
 D  4.362
 D  4.642
 D  2.754
 D  2.207
 D  2.471
 D  2.866
 D  2.017
 D  3.089
 D  4.589
 D  3.376
 D  4.766
 D  4.827
 D  2.611
 D  3.645
 D  4.73
 D  3.374
 D  3.913
 D  4.497
 D  4.215
 D  2.917
 D  3.122
 D  3.629
 D  3.65
 D  4.646
 D  2.969
 D  3.346
 D  2.057
 D  2.195
 D  4.231
 D  2.849
 D  2.273
 D  2.037
 D  2.733
 D  4.243
 D  3.226
 D  2.733
 D  3.391
 D  4.679
 D  4.473
 D  3.918
 D  3.786
 D  3.835
 D  3.427
 D  2.642
 D  2.72
 D  4.028
 D  2.567
 D  3.489
 D  4.931
 D  4.317
 D  3.647
 D  3.062
 D  4.107
 D  4.734
 D  4.42
 D  3.874
 D  2.414
 D  4.794
 D  2.671
 D  4.928
 D  4.444
 D  3.995
 D  3.833
 D  2.116
 D  3.291
 D  4.993
 D  4.274
 D  2.322
 D  2.757
 D  2.128
 D  2.127
 D  3.42
 D  2.562
 D  4.488
 D  2.192
 D  4.229
 D  3.908
 D  3.117
 D  2.564
 D  3.893
 D  4.343
 D  3.762
 D  4.902
 D  3.351
 D  3.62
 D  3.183
 D  2.385
 D  2.039
 D  4.119
 D  2.753
 D  3.882
 D  4.443
 D  3.223
 D  2.896
