
Train: 002
Destination:   C
Capacity (kg): 190000.0
Load (kg):     189997.654
Num of Parcels 54176
Parcels:
 C  3.023
 C  4.308
 C  2.997
 C  3.428
 C  3.418
 C  2.691
 C  3.843
 C  4.7
 C  3.766
 C  3.118
 C  4.359
 C  3.896
 C  2.067
 C  3.76
 C  2.546
 C  2.023
 C  4.533
 C  3.731
 C  4.727
 C  2.676
 C  4.627
 C  4.321
 C  4.865
 C  3.835
 C  3.448
 C  3.817
 C  4.935
 C  4.5
 C  4.665
 C  3.125
 C  3.813
 C  4.772
 C  3.0
 C  3.428
 C  4.382
 C  4.529
 C  4.152
 C  4.707
 C  4.869
 C  2.988
 C  2.959
 C  4.049
 C  3.547
 C  3.194
 C  4.846
 C  3.021
 C  3.251
 C  3.399
 C  2.1
 C  4.133
 C  3.136
 C  2.239
 C  3.103
 C  4.378
 C  3.683
 C  3.816
 C  2.291
 C  3.776
 C  3.434
 C  3.004
 C  4.797
 C  4.867
 C  4.082
 C  3.778
 C  2.617
 C  2.03
 C  4.101
 C  2.736
 C  2.068
 C  4.694
 C  3.917
 C  4.088
 C  3.09
 C  4.46
 C  3.137
 C  2.627
 C  2.178
 C  2.571
 C  2.713
 C  2.212
 C  3.861
 C  3.953
 C  4.512
 C  4.28
 C  3.055
 C  4.369
 C  4.56
 C  3.945
 C  3.188
 C  3.736
 C  2.847
 C  4.46
 C  4.296
 C  2.264
 C  4.885
 C  3.234
 C  2.739
 C  4.155
 C  3.006
 C  3.964
 C  2.313
 C  3.665
 C  2.141
 C  4.895
 C  3.392
 C  2.066
 C  3.699
 C  4.82
 C  2.337
 C  4.746
 C  3.061
 C  2.951
 C  4.14
 C  2.776
 C  3.704
 C  3.439
 C  2.001
 C  4.833
 C  4.0
 C  3.181
 C  2.522
 C  4.448
 C  4.181
 C  3.92
 C  4.127
 C  4.733
 C  4.127
 C  3.763
 C  3.226
 C  3.096
 C  3.247
 C  2.07
 C  3.683
 C  4.643
 C  2.14
 C  4.006
 C  4.045
 C  4.141
 C  3.054
 C  4.873
 C  3.53
 C  3.828
 C  4.525
 C  2.91
 C  2.264
 C  2.165
 C  3.204
 C  2.997
 C  4.904
 C  3.935
 C  4.777
 C  4.777
 C  2.28
 C  3.236
 C  4.555
 C  4.812
 C  3.784
 C  2.771
 C  4.769
 C  4.676
 C  3.636
 C  3.933
 C  2.808
 C  4.346
 C  3.659
 C  2.792
 C  3.349
 C  4.6
 C  3.758
 C  4.133
 C  3.884
 C  4.261
 C  2.629
 C  4.46
 C  4.681
 C  3.106
 C  4.952
 C  4.724
 C  4.618
 C  3.767
 C  3.277
 C  2.8
 C  4.447
 C  3.314
 C  2.666
 C  2.814
 C  3.734
 C  2.908
 C  4.478
 C  2.094
 C  2.057
 C  4.481
 C  4.78
 C  3.612
 C  2.486
 C  3.098
 C  2.16
 C  3.472
 C  2.942
 C  4.984
 C  4.234
 C  3.769
 C  2.741
 C  2.484
 C  2.121
 C  4.84
 C  4.549
 C  2.39
 C  4.366
 C  2.204
 C  2.532
 C  4.177
 C  2.854
 C  2.187
 C  4.025
 C  2.54
 C  2.3
 C  2.343
 C  4.95
 C  3.408
 C  2.178
 C  2.191
 C  2.591
 C  3.029
 C  2.633
 C  4.936
 C  4.53
 C  3.81
 C  4.167
 C  4.626
 C  2.147
 C  4.112
 C  3.878
 C  2.511
 C  2.453
 C  4.691
 C  4.189
 C  2.739
 C  2.585
 C  4.999
 C  4.204
 C  2.958
 C  4.408
 C  4.934
 C  4.678
 C  4.641
 C  3.001
 C  4.717
 C  3.882
 C  2.62
 C  2.045
 C  2.787
 C  4.514
 C  2.809
 C  2.773
 C  3.615
 C  4.029
 C  4.872
 C  4.626
 C  2.694
 C  4.326
 C  4.507
 C  2.338
 C  3.968
 C  4.298
 C  4.406
 C  4.648
 C  4.521
 C  4.378
 C  4.336
 C  2.759
 C  4.376
 C  2.378
 C  2.907
 C  3.444
 C  3.243
 C  4.967
 C  3.778
 C  4.041
 C  4.674
 C  4.021
 C  2.281
 C  3.024
 C  3.461
 C  4.856
 C  4.103
 C  3.298
 C  4.474
 C  2.341
 C  4.19
 C  4.18
 C  4.153
 C  3.902
 C  4.887
 C  3.367
 C  4.566
 C  2.807
 C  3.578
 C  4.674
 C  2.037
 C  3.272
 C  4.597
 C  2.942
 C  3.852
 C  2.878
 C  2.52
 C  2.706
 C  2.467
 C  4.112
 C  3.093
 C  3.524
 C  2.86
 C  2.539
 C  2.841
 C  4.497
 C  2.218
 C  2.463
 C  2.546
 C  3.669
 C  4.127
 C  4.103
 C  3.72
 C  3.324
 C  3.492
 C  2.34
 C  2.661
 C  2.08
 C  3.3
 C  4.425
 C  2.829
 C  3.464
 C  4.287
 C  3.271
 C  3.143
 C  2.643
 C  3.548
 C  4.343
 C  4.579
 C  2.242
 C  4.119
 C  2.582
 C  2.999
 C  2.291
 C  4.665
 C  3.989
 C  3.379
 C  3.489
 C  4.874
 C  3.828
 C  4.105
 C  3.353
 C  4.335
 C  4.012
 C  3.704
 C  2.327
 C  3.25
 C  2.041
 C  3.771
 C  2.327
 C  4.971
 C  4.979
 C  2.467
 C  2.165
 C  4.77
 C  3.193
 C  3.777
 C  4.885
 C  4.485
 C  3.292
 C  2.88
 C  4.334
 C  3.952
 C  4.784
 C  3.661
 C  3.127
 C  2.318
 C  4.253
 C  3.632
 C  4.246
 C  2.498
 C  4.408
 C  4.329
 C  4.115
 C  3.337
 C  2.901
 C  2.731
 C  2.088
 C  3.341
 C  4.521
 C  2.064
 C  3.729
 C  2.546
 C  4.218
 C  4.982
 C  3.041
 C  4.406
 C  2.633
 C  3.478
 C  3.058
 C  3.208
 C  3.635
 C  4.932
 C  2.726
 C  4.162
 C  3.489
 C  3.886
 C  3.515
 C  3.577
 C  4.375
 C  4.703
 C  4.026
 C  4.813
 C  2.999
 C  3.108
 C  3.983
 C  3.123
 C  2.725
 C  4.782
 C  2.667
 C  2.826
 C  4.558
 C  2.474
 C  2.289
 C  4.031
 C  4.44
 C  4.279
 C  4.719
 C  3.055
 C  4.145
 C  4.719
 C  3.689
 C  4.524
 C  4.291
 C  4.781
 C  4.35
 C  3.6
 C  4.76
 C  2.492
 C  3.678
 C  2.184
 C  4.247
 C  2.343
 C  3.215
 C  4.478
 C  3.546
 C  4.529
 C  4.429
 C  3.821
 C  3.136
 C  2.381
 C  2.906
 C  2.751
 C  3.251
 C  3.176
 C  3.907
 C  2.998
 C  2.184
 C  4.202
 C  3.831
 C  4.825
 C  4.638
 C  4.967
 C  4.129
 C  4.147
 C  4.577
 C  2.99
 C  2.302
 C  4.261
 C  4.007
 C  2.186
 C  2.83
 C  4.046
 C  3.955
 C  3.259
 C  2.355
 C  3.392
 C  4.932
 C  2.952
 C  3.216
 C  3.686
 C  4.582
 C  4.743
 C  3.25
 C  3.867
 C  4.67
 C  2.476
 C  4.861
 C  3.509
 C  3.747
 C  3.131
 C  2.55
 C  2.587
 C  4.209
 C  3.202
 C  4.686
 C  4.68
 C  3.034
 C  4.609
 C  4.365
 C  2.989
 C  4.458
 C  2.134
 C  4.082
 C  3.042
 C  3.864
 C  3.28
 C  3.569
 C  2.596
 C  3.656
 C  4.93
 C  2.494
 C  4.09
 C  3.756
 C  4.402
 C  3.337
 C  2.102
 C  3.773
 C  4.285
 C  2.901
 C  3.024
 C  2.66
 C  4.74
 C  4.565
 C  4.474
 C  2.184
 C  3.441
 C  2.106
 C  3.226
 C  3.196
 C  3.441
 C  4.0
 C  2.926
 C  4.602
 C  2.2
 C  2.075
 C  2.523
 C  2.59
 C  4.324
 C  3.325
 C  4.415
 C  2.815
 C  2.579
 C  4.076
 C  3.051
 C  2.326
 C  2.833
 C  3.088
 C  2.218
 C  4.918
 C  2.124
 C  3.578
 C  3.835
 C  4.542
 C  3.796
 C  4.955
 C  3.041
 C  3.469
 C  3.711
 C  2.916
 C  3.648
 C  4.664
 C  2.339
 C  3.837
 C  3.176
 C  2.403
 C  3.548
 C  4.664
 C  3.293
 C  4.289
 C  2.288
 C  4.866
 C  3.009
 C  4.489
 C  3.954
 C  4.885
 C  2.111
 C  4.821
 C  3.373
 C  3.422
 C  4.657
 C  2.959
 C  2.522
 C  3.341
 C  2.933
 C  2.355
 C  2.088
 C  3.754
 C  3.063
 C  4.651
 C  2.161
 C  2.785
 C  4.201
 C  3.127
 C  2.776
 C  4.568
 C  3.232
 C  3.359
 C  3.404
 C  4.192
 C  4.136
 C  4.281
 C  4.902
 C  2.998
 C  4.561
 C  2.43
 C  3.74
 C  2.9
 C  2.744
 C  4.536
 C  3.181
 C  3.613
 C  3.525
 C  3.281
 C  2.198
 C  3.204
 C  2.364
 C  2.559
 C  2.164
 C  3.736
 C  4.391
 C  3.971
 C  2.769
 C  4.111
 C  2.802
 C  2.813
 C  2.618
 C  4.331
 C  4.613
 C  4.169
 C  3.657
 C  2.806
 C  4.558
 C  2.673
 C  2.881
 C  2.443
 C  3.392
 C  2.415
 C  2.94
 C  4.416
 C  4.451
 C  3.375
 C  3.444
 C  2.136
 C  3.488
 C  2.869
 C  4.962
 C  3.971
 C  3.954
 C  2.985
 C  2.313
 C  4.505
 C  4.003
 C  4.175
 C  2.476
 C  2.151
 C  2.869
 C  4.63
 C  4.247
 C  4.352
 C  4.64
 C  2.809
 C  3.173
 C  4.712
 C  2.323
 C  4.439
 C  2.157
 C  2.576
 C  4.257
 C  2.586
 C  4.061
 C  3.074
 C  3.883
 C  2.519
 C  3.962
 C  2.414
 C  4.15
 C  3.352
 C  3.186
 C  3.265
 C  3.456
 C  2.445
 C  2.397
 C  2.911
 C  4.144
 C  3.124
 C  4.988
 C  4.896
 C  4.456
 C  4.667
 C  3.193
